year_be,total_to_award_ratio,award_share_pct,awarded_articles_per_million_reward,total_articles_per_million_reward,reward_per_awarded_article_baht,reward_per_total_article_baht,full_reward_per_total_article_baht,researchers_yoy_change,researchers_yoy_pct,awarded_articles_per_awarded_researcher,total_articles_per_awarded_researcher
2551,2.9285714285714284,34.146341463414636,67.6328502415459,198.06763285024155,14785.714285714286,5048.780487804878,6097.188902439024,,,1.68,4.92
2552,2.4801762114537445,40.319715808170514,66.3936823632641,164.66803158818368,15061.674008810573,6072.824156305506,7468.572824156306,32.0,32.00000000000001,1.7196969696969697,4.265151515151516
2553,2.115501519756839,47.270114942528735,53.17601422337158,112.49393890415386,18805.47112462006,8889.367816091954,10591.308908045978,70.0,53.03030303030303,1.6287128712871286,3.4455445544554455
2554,2.322857142857143,43.05043050430504,65.92578640045205,153.13618383876437,15168.57142857143,6530.135301353013,8490.589175891759,-16.0,-7.920792079207917,1.881720430107527,4.370967741935484
2555,1.9187192118226601,52.118100128369704,53.6412641369834,102.92252404608392,18642.364532019703,9716.04621309371,12311.949075738126,65.0,34.94623655913978,1.6175298804780875,3.103585657370518
2556,2.0441176470588234,48.92086330935252,45.14273069263111,92.27705244523125,22151.960784313724,10836.930455635491,13086.93525179856,0.0,0.0,1.6254980079681276,3.3227091633466137
2557,2.036363636363636,49.107142857142854,47.01859371660611,95.74695447745245,21268.18181818182,10444.19642857143,12636.7109375,1.0,0.3984063745019917,1.746031746031746,3.5555555555555554
2558,2.0548245614035086,48.66595517609392,42.26331155289865,86.84369062514482,23661.184210526317,11514.941302027748,13893.839498399146,19.0,7.539682539682535,1.6826568265682658,3.4575645756457565
2559,2.331786542923434,42.885572139303484,39.03455146492777,91.0202418149708,25618.329466357307,10986.567164179105,13586.166069651741,-17.0,-6.27306273062731,1.6968503937007875,3.956692913385827
2560,2.2,45.45454545454545,39.23620193565263,86.31964425843579,25486.666666666668,11584.848484848484,13910.235307359308,62.0,24.409448818897637,1.6613924050632911,3.6550632911392404
2561,2.13458262350937,46.84756584197925,39.54326518239078,84.40836673515443,25288.756388415673,11847.166799680766,14795.409896249004,18.0,5.696202531645578,1.7574850299401197,3.751497005988024
2562,2.1360239162929746,46.81595521343597,38.59132992991261,82.43200369184622,25912.55605381166,12131.210636808957,14318.98699090273,47.0,14.071856287425156,1.7559055118110236,3.7506561679790025
2563,1.8854296388542964,53.03830911492734,52.523138306570296,99.0286816888511,19039.22789539228,10098.084544253632,12218.435845442536,44.0,11.548556430446189,1.8894117647058823,3.5623529411764707
2564,1.8219326818675352,54.88676996424314,55.10845175766642,100.40388930441287,18146.036916395224,9959.773539928487,12078.863128724672,56.0,13.1764705882353,1.9147609147609148,3.4885654885654884
2565,1.8234183191690274,54.84205075090627,56.11636594865273,102.3236096759664,17820.113314447593,9772.915587778352,11876.700315898497,32.0,6.652806652806653,2.064327485380117,3.7641325536062378
2566,1.8116947472745293,55.19693654266958,48.324911995019036,87.54998922387988,20693.260654112983,11422.045951859956,13910.927242888403,1.0,0.19493177387914784,1.9630350194552528,3.556420233463035
